DEBUG-LM1(n0c0b0m0p0,2):(5) (0x4014000000000000) #d getd $ln2n0c0b0m0p0 1
DEBUG-LM0(n0c0b0m0p0,2):(5) (0x4014000000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m0p1,2):(5) (0x4014000000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m0p2,2):(5) (0x4014000000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m0p3,2):(5) (0x4014000000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m1p0,2):(5) (0x4014000000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m1p1,2):(5) (0x4014000000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m1p2,2):(5) (0x4014000000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m1p3,2):(5) (0x4014000000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m2p0,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m2p1,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m2p2,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m2p3,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m3p0,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m3p1,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m3p2,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m3p3,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m4p0,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m4p1,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m4p2,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m4p3,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
DEBUG-LM0(n0c0b0m5p0,2):(0.0549316) (0x3fac200000000000) #d getd $lm2n0c0b0 1
