DEBUG-GREG0(n0c0b0m10p1,32):(f:0, i:{{0x0,0x0},{0x0,0x21}}, v:0x21) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m10p2,32):(f:0, i:{{0x0,0x0},{0x0,0x22}}, v:0x22) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m10p3,32):(f:0, i:{{0x0,0x0},{0x0,0x23}}, v:0x23) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m11p0,32):(f:0, i:{{0x0,0x0},{0x0,0x24}}, v:0x24) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m11p1,32):(f:0, i:{{0x0,0x0},{0x0,0x25}}, v:0x25) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m11p2,32):(f:0, i:{{0x0,0x0},{0x0,0x26}}, v:0x26) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m11p3,32):(f:0, i:{{0x0,0x0},{0x0,0x27}}, v:0x27) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m12p0,32):(f:0, i:{{0x0,0x0},{0x0,0x28}}, v:0x28) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m12p1,32):(f:0, i:{{0x0,0x0},{0x0,0x29}}, v:0x29) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m12p2,32):(f:0, i:{{0x0,0x0},{0x0,0x2A}}, v:0x2A) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m12p3,32):(f:0, i:{{0x0,0x0},{0x0,0x2B}}, v:0x2B) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m13p0,32):(f:0, i:{{0x0,0x0},{0x0,0x2C}}, v:0x2C) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m13p1,32):(f:0, i:{{0x0,0x0},{0x0,0x2D}}, v:0x2D) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m13p2,32):(f:0, i:{{0x0,0x0},{0x0,0x2E}}, v:0x2E) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m13p3,32):(f:0, i:{{0x0,0x0},{0x0,0x2F}}, v:0x2F) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m14p0,32):(f:0, i:{{0x0,0x0},{0x0,0x30}}, v:0x30) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m14p1,32):(f:0, i:{{0x0,0x0},{0x0,0x31}}, v:0x31) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m14p2,32):(f:0, i:{{0x0,0x0},{0x0,0x32}}, v:0x32) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m14p3,32):(f:0, i:{{0x0,0x0},{0x0,0x33}}, v:0x33) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m15p0,32):(f:0, i:{{0x0,0x0},{0x0,0x34}}, v:0x34) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m15p1,32):(f:0, i:{{0x0,0x0},{0x0,0x35}}, v:0x35) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m15p2,32):(f:0, i:{{0x0,0x0},{0x0,0x36}}, v:0x36) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m15p3,32):(f:0, i:{{0x0,0x0},{0x0,0x37}}, v:0x37) #d get $lr32n0c0b0 1
DEBUG-GREG0(n0c0b0m0p0,34):(f:0, i:{{0x0,0x0},{0x0,0x8}}, v:0x8) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m0p1,34):(f:0, i:{{0x0,0x0},{0x0,0x9}}, v:0x9) #d get $lr34n0c0b0 1
