DEBUG-LM1(n0c0b0m0p0,2):(5) (0x4014000000000000) #d getd $ln2n0c0b0m0p0 1
DEBUG-LM0(n0c0b0m0p0,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m0p1,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m0p2,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m0p3,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m1p0,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m1p1,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m1p2,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m1p3,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m2p0,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m2p1,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m2p2,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m2p3,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m3p0,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m3p1,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m3p2,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m3p3,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m4p0,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m4p1,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m4p2,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m4p3,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m5p0,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m5p1,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m5p2,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m5p3,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m6p0,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
DEBUG-LM0(n0c0b0m6p1,14):(1.25) (0x3ff4000000000000) #d getd $lm14n0c0b0 1
